localisation,species,id,number_day,growth,weight_gain,growth_day
A0,s.hystrix,1,7,0.10079999999999992,0.06299999999999994,1.4399999999999988
A0,s.hystrix,2,7,0.1272727272727272,0.07699999999999996,1.818181818181817
A0,s.hystrix,3,7,0.11597151576805696,0.11399999999999999,1.6567359395436707
A0,s.hystrix,4,7,0.08124999999999989,0.051999999999999935,1.1607142857142843
A0,s.hystrix,5,7,0.12055641421947443,0.15599999999999992,1.7222344888496346
A0,s.hystrix,6,7,0.11538461538461528,0.06299999999999994,1.648351648351647
A0,s.hystrix,7,7,0.09633027522935775,0.04199999999999998,1.376146788990825
A0,s.hystrix,8,7,0.09374999999999996,0.04199999999999998,1.3392857142857137
A0,s.hystrix,9,7,0.10983981693363827,0.09599999999999986,1.5691402419091183
A0,s.hystrix,10,7,0.13031161473087816,0.09199999999999997,1.8615944961554023
A0,a.millepora,11,7,0.06818181818181814,0.07499999999999996,0.9740259740259734
A0,a.millepora,12,7,0.03393665158371035,0.04499999999999993,0.48480930833871927
A0,a.millepora,13,7,0.04563335955940209,0.05800000000000005,0.6519051365628871
A0,a.millepora,14,7,0.04256889763779551,0.17300000000000093,0.6081271091113645
A0,a.millepora,15,7,0.04739507959478992,0.13099999999999934,0.677072565639856
A0,a.millepora,16,7,0.03141100216054528,0.18900000000000095,0.44872860229350403
A0,a.millepora,17,7,0.05518896220755854,0.18400000000000016,0.7884137458222649
A0,a.millepora,18,7,0.024677634504223847,0.22199999999999775,0.3525376357746264
A0,a.millepora,19,7,0.03562772661173077,0.14700000000000113,0.5089675230247253
A0,a.millepora,20,7,0.044089567783370864,0.25399999999999956,0.6298509683338694
A0,s.pistillata,21,7,0.022920009168003793,0.10000000000000053,0.3274287024000542
A0,s.pistillata,22,7,0.03500504880511616,0.10400000000000009,0.5000721257873737
A0,s.pistillata,23,7,0.029192006950477873,0.16800000000000015,0.41702867072111244
A0,s.pistillata,24,7,0.030329041487839863,0.10600000000000032,0.43327202125485514
A0,s.pistillata,25,7,0.03173839865352262,0.13200000000000056,0.45340569505032313
A0,s.pistillata,26,7,0.0367412140575081,0.16100000000000048,0.5248744865358299
A0,s.pistillata,27,7,0.04350161117078396,0.16199999999999948,0.6214515881540565
A0,s.pistillata,28,7,NA,NA,NA
A0,s.pistillata,29,7,0.029113509977101725,0.08899999999999997,0.41590728538716754
A0,s.pistillata,30,7,0.026753434562545135,0.07399999999999984,0.38219192232207333
B0,s.hystrix,31,7,0.03076120959332635,0.05899999999999994,0.4394458513332336
B0,s.hystrix,32,7,0.03416435826408139,0.037000000000000144,0.4880622609154484
B0,s.hystrix,33,7,0.015493867010974837,0.02400000000000002,0.22134095729964054
B0,s.hystrix,34,7,0.022466539196940805,0.04700000000000015,0.32095055995629723
B0,s.hystrix,35,7,0.027370478983382237,0.028000000000000025,0.3910068426197463
B0,s.hystrix,36,7,0.03024911032028472,0.017000000000000015,0.43213014743263883
B0,s.hystrix,37,7,0.027173913043478284,0.015000000000000013,0.3881987577639755
B0,s.hystrix,38,7,0.05524861878453044,0.040000000000000036,0.7892659826361491
B0,s.hystrix,39,7,0.034285714285714315,0.018000000000000016,0.48979591836734737
B0,s.hystrix,40,7,0.03969465648854948,0.025999999999999912,0.5670665212649926
B0,a.millepora,41,7,0.027440970006381717,0.04300000000000015,0.39201385723402454
B0,a.millepora,42,7,0.018509498295177697,0.03799999999999981,0.26442140421682425
B0,a.millepora,43,7,0.019058295964125577,0.03400000000000003,0.2722613709160797
B0,a.millepora,44,7,0.02876254180602017,0.04300000000000015,0.41089345437171676
B0,a.millepora,45,7,0.013622603430877856,0.026999999999999913,0.19460862044111224
B0,a.millepora,46,7,0.016052318668251808,0.08099999999999863,0.22931883811788295
B0,a.millepora,47,7,0.03450704225352108,0.04899999999999993,0.4929577464788726
B0,a.millepora,48,7,0.032682060390763955,0.09200000000000053,0.46688657701091363
B0,a.millepora,49,7,0.03237629810629209,0.05300000000000016,0.4625185443756013
B0,a.millepora,50,7,0.03305785123966945,0.02400000000000002,0.4722550177095636
B0,s.pistillata,51,7,0.026883756152972258,0.07099999999999973,0.38405365932817515
B0,s.pistillata,52,7,0.03885003885003889,0.050000000000000044,0.5550005550005556
B0,s.pistillata,53,7,0.030869212022745767,0.038000000000000034,0.4409887431820824
B0,s.pistillata,54,7,0.03014492753623191,0.052000000000000046,0.4306418219461702
B0,s.pistillata,55,7,0.019448698315466903,0.1269999999999989,0.2778385473638129
B0,s.pistillata,56,7,0.03614457831325315,0.039000000000000146,0.5163511187607592
B0,s.pistillata,57,7,0.042735042735042576,0.04999999999999982,0.6105006105006082
B0,s.pistillata,58,7,0.034946236559139816,0.026000000000000023,0.4992319508448545
B0,s.pistillata,59,7,0.018680539134547113,0.07899999999999974,0.26686484477924444
B0,s.pistillata,60,7,0.03298969072164951,0.06400000000000006,0.4712812960235645
